complaint_id,region,timestamp,category,customer_count,escalation_level
CPLNT-000001,US-SOUTH-01,2026-07-10 10:20:00,No Signal,1050,Critical
CPLNT-000002,ASIA-PAC,2026-07-17 10:45:00,Service Outage,80,Critical
CPLNT-000003,ASIA-SOUTH,2026-07-31 12:10:00,Service Outage,60,Medium
CPLNT-000004,EMEA-EAST,2026-07-24 13:25:00,Service Outage,30,Critical
CPLNT-000005,US-EAST-01,2026-07-10 06:10:00,Service Outage,90,Critical
CPLNT-000006,US-EAST-01,2026-07-17 18:30:00,No Signal,480,Medium
CPLNT-000007,EMEA-EAST,2026-07-31 07:15:00,No Signal,200,High
CPLNT-000008,ASIA-SOUTH,2026-07-28 12:40:00,Service Outage,180,High
CPLNT-000009,EMEA-EAST,2026-07-10 09:10:00,Service Outage,480,Medium
CPLNT-000010,US-EAST-01,2026-07-12 02:00:00,Service Outage,600,High
CPLNT-000011,ASIA-PAC,2026-07-25 16:15:00,Service Outage,100,Low
CPLNT-000012,US-EAST-01,2026-07-30 23:25:00,High Latency,220,High
CPLNT-000013,US-EAST-01,2026-07-15 02:40:00,Service Outage,180,High
CPLNT-000014,EMEA-WEST,2026-07-18 16:10:00,Service Outage,1200,High
CPLNT-000015,US-EAST-01,2026-07-16 06:00:00,Service Outage,200,Low
CPLNT-000016,ASIA-PAC,2026-07-31 13:30:00,Service Outage,979,High
CPLNT-000017,US-SOUTH-01,2026-07-17 12:30:00,Service Outage,1100,High
CPLNT-000018,US-SOUTH-01,2026-07-23 20:05:00,No Signal,220,Medium
CPLNT-000019,ASIA-PAC,2026-07-22 11:10:00,Service Outage,70,Critical
CPLNT-000020,US-EAST-01,2026-07-25 12:40:00,No Signal,60,Medium
CPLNT-000021,ASIA-PAC,2026-07-11 12:20:00,Service Outage,550,High
CPLNT-000022,ASIA-PAC,2026-07-31 00:35:00,Service Outage,42,Medium
CPLNT-000023,US-EAST-01,2026-07-13 13:00:00,No Signal,650,Medium
CPLNT-000024,ASIA-PAC,2026-07-18 21:20:00,Service Outage,840,High
CPLNT-000025,EMEA-EAST,2026-07-11 17:30:00,Service Outage,150,High
CPLNT-000026,US-EAST-01,2026-07-24 04:30:00,Service Outage,100,Low
CPLNT-000027,EMEA-EAST,2026-07-24 13:30:00,No Signal,950,High
CPLNT-000028,ASIA-PAC,2026-07-25 07:10:00,Service Outage,112,Medium
CPLNT-000029,ASIA-SOUTH,2026-07-31 12:30:00,Service Outage,1100,High
CPLNT-000030,ASIA-PAC,2026-07-16 23:35:00,Service Outage,550,Medium
CPLNT-000031,EMEA-EAST,2026-07-10 17:25:00,Service Outage,450,Medium
CPLNT-000032,ASIA-PAC,2026-07-15 08:30:00,No Signal,950,Critical
CPLNT-000033,ASIA-PAC,2026-07-12 04:20:00,Service Outage,850,High
CPLNT-000034,US-SOUTH-01,2026-07-24 01:10:00,No Signal,900,High
CPLNT-000035,ASIA-SOUTH,2026-07-19 03:10:00,Connection Drops,20,Medium
CPLNT-000036,US-EAST-01,2026-07-12 23:40:00,Service Outage,300,Medium
CPLNT-000037,ASIA-PAC,2026-07-19 14:35:00,No Signal,650,High
CPLNT-000038,ASIA-SOUTH,2026-07-14 15:40:00,Service Outage,1200,High
CPLNT-000039,US-EAST-01,2026-07-13 12:30:00,Service Outage,300,Critical
CPLNT-000040,ASIA-PAC,2026-07-28 02:45:00,Service Outage,840,Critical
CPLNT-000041,ASIA-SOUTH,2026-07-21 18:00:00,No Signal,220,High
CPLNT-000042,US-EAST-01,2026-07-26 23:25:00,Slow Network,280,Low
CPLNT-000043,EMEA-EAST,2026-07-18 16:20:00,Service Outage,150,Medium
CPLNT-000044,ASIA-PAC,2026-07-19 02:10:00,No Signal,42,Critical
CPLNT-000045,US-WEST-01,2026-07-27 03:35:00,No Signal,380,Low
CPLNT-000046,US-WEST-01,2026-07-30 08:35:00,Service Outage,750,High
CPLNT-000047,US-WEST-01,2026-07-15 02:20:00,Service Outage,700,Medium
CPLNT-000048,US-SOUTH-01,2026-07-15 04:30:00,No Signal,1190,High
CPLNT-000049,EMEA-EAST,2026-07-21 12:10:00,Service Outage,450,Medium
CPLNT-000050,ASIA-PAC,2026-07-20 11:45:00,Service Outage,650,High
CPLNT-000051,US-SOUTH-01,2026-07-22 17:40:00,Service Outage,20,High
