outage_id,region,timestamp,severity,component,status,duration_minutes
INC-000001,US-EAST-01,2026-07-25 22:15:00,Major,Hardware Fault,Active,180
INC-000002,ASIA-PAC,2026-07-11 00:10:00,Warning,Hardware Fault,Active,1200
INC-000003,EMEA-EAST,2026-07-18 21:25:00,Minor,Configuration Error,Resolved,1200
INC-000004,EMEA-EAST,2026-07-21 05:35:00,Critical,Equipment Fault,Active,600
INC-000005,ASIA-SOUTH,2026-07-22 20:35:00,Critical,Hardware Fault,Resolved,1200
INC-000006,EMEA-WEST,2026-07-15 19:10:00,Critical,Configuration Error,Active,1440
INC-000007,ASIA-PAC,2026-07-29 04:45:00,Minor,Power Outage,Active,120
INC-000008,ASIA-SOUTH,2026-07-31 03:35:00,Critical,Fiber Backbone,Active,180
INC-000009,US-WEST-01,2026-07-17 14:25:00,Warning,Scheduled UPS Test,Resolved,30
INC-000010,EMEA-WEST,2026-07-13 17:45:00,Warning,Scheduled UPS Test,Resolved,150
INC-000011,US-EAST-01,2026-07-13 16:15:00,Warning,Software Bug,Active,1080
INC-000012,ASIA-PAC,2026-07-30 02:40:00,Major,Software Bug,Resolved,180
INC-000013,EMEA-EAST,2026-07-31 12:20:00,Critical,Scheduled UPS Test,Resolved,180
INC-000014,ASIA-PAC,2026-07-29 23:00:00,Warning,BGP Route,Resolved,45
INC-000015,ASIA-SOUTH,2026-07-14 01:05:00,Minor,Scheduled UPS Test,Resolved,1200
INC-000016,ASIA-SOUTH,2026-07-26 18:00:00,Minor,Cloud Flare,Resolved,720
INC-000017,US-EAST-01,2026-07-21 13:25:00,Major,Power Outage,Active,240
INC-000018,ASIA-SOUTH,2026-07-10 22:35:00,Warning,BGP Route,Active,120
INC-000019,US-SOUTH-01,2026-07-29 22:30:00,Minor,Fiber Break,Resolved,90
INC-000020,US-WEST-01,2026-07-25 14:15:00,Warning,Software Bug,Resolved,900
INC-000021,ASIA-PAC,2026-07-12 15:05:00,Minor,Power Outage,Resolved,480
INC-000022,US-EAST-01,2026-07-30 15:25:00,Minor,Fiber Backbone,Active,1440
INC-000023,ASIA-PAC,2026-07-18 10:00:00,Minor,BGP Route,Active,180
INC-000024,EMEA-EAST,2026-07-27 10:25:00,Major,Cloud Flare,Active,360
INC-000025,ASIA-PAC,2026-07-13 11:25:00,Major,BGP Route,Active,180
INC-000026,EMEA-WEST,2026-07-29 16:10:00,Minor,Equipment Fault,Resolved,1080
INC-000027,EMEA-WEST,2026-07-15 04:15:00,Critical,Power Outage,Resolved,180
INC-000028,ASIA-PAC,2026-07-18 03:05:00,Major,Scheduled UPS Test,Resolved,240
INC-000029,ASIA-PAC,2026-07-23 18:40:00,Minor,Power Outage,Resolved,240
INC-000030,EMEA-WEST,2026-07-14 20:15:00,Major,Hardware Fault,Resolved,180
INC-000031,ASIA-PAC,2026-07-21 11:05:00,Warning,Configuration Error,Active,240
INC-000032,US-SOUTH-01,2026-07-19 03:00:00,Major,Hardware Fault,Active,1080
INC-000033,US-EAST-01,2026-07-20 12:35:00,Warning,Software Bug,Resolved,600
INC-000034,ASIA-PAC,2026-07-30 19:00:00,Warning,Fiber Break,Active,900
INC-000035,ASIA-PAC,2026-07-29 23:20:00,Critical,Fiber Backbone,Resolved,180
INC-000036,US-EAST-01,2026-07-14 00:05:00,Major,Scheduled UPS Test,Resolved,900
INC-000037,US-EAST-01,2026-07-15 12:30:00,Major,Hardware Fault,Active,360
INC-000038,US-WEST-01,2026-07-22 13:15:00,Minor,Software Bug,Resolved,240
INC-000039,ASIA-SOUTH,2026-07-25 07:45:00,Major,Fiber Backbone,Active,1800
INC-000040,EMEA-EAST,2026-07-16 15:05:00,Warning,Cloud Flare,Resolved,150
INC-000041,ASIA-PAC,2026-07-14 04:35:00,Minor,Equipment Fault,Resolved,1440
INC-000042,ASIA-PAC,2026-07-22 23:20:00,Warning,Power Outage,Active,600
INC-000043,ASIA-PAC,2026-07-28 19:10:00,Major,Hardware Fault,Resolved,720
INC-000044,US-EAST-01,2026-07-16 17:45:00,Minor,Scheduled UPS Test,Active,1440
INC-000045,ASIA-PAC,2026-07-19 00:10:00,Major,Hardware Fault,Active,180
INC-000046,EMEA-WEST,2026-07-26 16:10:00,Warning,BGP Route,Active,900
INC-000047,EMEA-EAST,2026-07-21 14:05:00,Minor,Fiber Backbone,Resolved,300
INC-000048,US-EAST-01,2026-07-17 12:10:00,Warning,Fiber Break,Active,240
INC-000049,ASIA-PAC,2026-07-23 08:30:00,Critical,Fiber Break,Resolved,180
INC-000050,ASIA-PAC,2026-07-28 12:20:00,Minor,Hardware Fault,Active,120
INC-000051,ASIA-SOUTH,2026-07-23 06:15:00,Minor,Power Outage,Resolved,150
INC-000052,ASIA-SOUTH,2026-07-23 09:20:00,Major,Scheduled UPS Test,Active,180
INC-000053,US-EAST-01,2026-07-15 04:15:00,Warning,Cloud Flare,Resolved,15
INC-000054,EMEA-EAST,2026-07-20 14:25:00,Warning,Configuration Error,Resolved,90
INC-000055,US-EAST-01,2026-07-24 01:35:00,Warning,Equipment Fault,Resolved,480
INC-000056,ASIA-PAC,2026-07-25 16:00:00,Critical,Fiber Break,Resolved,900
INC-000057,ASIA-PAC,2026-07-14 10:40:00,Minor,Fiber Backbone,Active,600
INC-000058,EMEA-WEST,2026-07-24 23:00:00,Critical,Hardware Fault,Resolved,180
