region,timestamp,traffic_gbps,active_users,peak_utilization_percent
ASIA-SOUTH,2026-07-27 10:00:00,142.5,168690,53
ASIA-SOUTH,2026-07-15 11:30:00,218.0,169346,63
US-WEST-01,2026-07-21 16:30:00,142.5,128631,70
US-EAST-01,2026-07-12 22:00:00,316.1,55635,46
ASIA-PAC,2026-07-14 07:15:00,296.7,192848,67
US-WEST-01,2026-07-26 02:30:00,774.5,59364,96
US-EAST-01,2026-07-24 16:15:00,603.1,111591,80
US-EAST-01,2026-07-10 11:00:00,591.4,27280,80
US-SOUTH-01,2026-07-11 22:00:00,840.1,183821,95
ASIA-PAC,2026-07-11 09:30:00,659.2,61438,99
EMEA-EAST,2026-07-27 19:00:00,640.8,64435,80
ASIA-PAC,2026-07-28 17:30:00,640.0,42208,80
US-SOUTH-01,2026-07-14 08:30:00,517.9,151290,80
US-EAST-01,2026-07-18 02:00:00,337.9,97629,63
ASIA-PAC,2026-07-17 06:00:00,889.4,43736,90
ASIA-PAC,2026-07-24 19:30:00,783.9,24608,90
US-SOUTH-01,2026-07-16 19:15:00,515.8,149219,80
US-SOUTH-01,2026-07-24 09:15:00,364.7,124304,52
EMEA-EAST,2026-07-13 00:15:00,262.7,156671,54
ASIA-PAC,2026-07-24 06:45:00,890.8,164145,90
US-EAST-01,2026-07-30 09:15:00,730.8,141413,90
ASIA-PAC,2026-07-14 21:15:00,756.9,133382,90
EMEA-EAST,2026-07-23 12:30:00,396.1,111677,49
EMEA-WEST,2026-07-22 23:30:00,219.5,107635,67
ASIA-PAC,2026-07-16 11:15:00,937.1,164628,90
ASIA-PAC,2026-07-27 13:30:00,311.7,52639,72
US-SOUTH-01,2026-07-29 12:45:00,695.9,157314,80
US-EAST-01,2026-07-15 17:00:00,736.0,38268,90
EMEA-EAST,2026-07-11 15:30:00,130.6,164246,64
ASIA-PAC,2026-07-23 16:30:00,938.6,68275,96
EMEA-WEST,2026-07-15 15:00:00,335.6,150661,57
ASIA-PAC,2026-07-13 18:00:00,533.0,123324,90
EMEA-EAST,2026-07-15 18:30:00,829.3,62727,90
US-WEST-01,2026-07-14 16:00:00,820.6,86207,90
ASIA-PAC,2026-07-20 12:45:00,279.4,86408,86
US-SOUTH-01,2026-07-14 06:15:00,666.1,58706,98
EMEA-WEST,2026-07-12 18:45:00,899.1,166441,90
ASIA-SOUTH,2026-07-27 18:00:00,834.8,49193,90
EMEA-WEST,2026-07-15 11:00:00,825.4,168018,90
ASIA-PAC,2026-07-27 04:00:00,909.5,30570,97
US-EAST-01,2026-07-21 04:15:00,638.2,28379,80
US-EAST-01,2026-07-12 21:30:00,677.6,67482,80
EMEA-WEST,2026-07-25 12:30:00,498.0,21063,92
US-SOUTH-01,2026-07-31 09:15:00,421.6,183888,79
ASIA-PAC,2026-07-13 20:00:00,379.7,146849,94
ASIA-PAC,2026-07-31 03:15:00,882.9,96232,90
ASIA-PAC,2026-07-28 20:00:00,338.3,169756,96
US-EAST-01,2026-07-23 14:30:00,731.0,170626,94
US-EAST-01,2026-07-12 02:30:00,257.1,39141,67
ASIA-PAC,2026-07-26 12:00:00,768.4,173703,96
EMEA-EAST,2026-07-23 06:30:00,692.4,70050,80
US-SOUTH-01,2026-07-15 05:30:00,990.0,133311,90
US-SOUTH-01,2026-07-17 07:45:00,990.1,124418,90
US-SOUTH-01,2026-07-11 05:15:00,739.8,154591,94
ASIA-PAC,2026-07-13 03:45:00,470.9,74864,80
US-EAST-01,2026-07-24 05:15:00,299.8,149155,54
EMEA-EAST,2026-07-11 23:15:00,656.0,71070,80
EMEA-WEST,2026-07-28 05:15:00,739.4,154054,90
EMEA-WEST,2026-07-10 11:30:00,853.0,53736,90
ASIA-PAC,2026-07-30 18:30:00,586.0,52231,80
EMEA-EAST,2026-07-27 11:30:00,333.9,100429,47
US-WEST-01,2026-07-10 12:30:00,850.7,39047,90
US-EAST-01,2026-07-12 12:00:00,162.5,169500,45
US-EAST-01,2026-07-30 04:00:00,241.7,135252,70
ASIA-PAC,2026-07-18 20:45:00,493.6,36749,99
EMEA-EAST,2026-07-15 17:00:00,473.3,67880,62
US-EAST-01,2026-07-19 17:30:00,677.6,75636,80
EMEA-WEST,2026-07-13 15:45:00,706.3,70019,90
ASIA-SOUTH,2026-07-19 17:00:00,415.3,23615,67
ASIA-PAC,2026-07-28 20:30:00,771.7,179054,91
ASIA-SOUTH,2026-07-28 05:00:00,302.6,64208,91
US-SOUTH-01,2026-07-14 07:45:00,555.3,118247,80
ASIA-PAC,2026-07-13 16:15:00,968.9,91350,90
US-EAST-01,2026-07-18 19:00:00,407.1,42942,92
ASIA-PAC,2026-07-11 03:00:00,900.4,92827,94
ASIA-SOUTH,2026-07-31 13:30:00,330.9,107953,47
US-EAST-01,2026-07-30 18:30:00,248.0,166187,70
ASIA-PAC,2026-07-18 15:00:00,546.8,66120,84
EMEA-WEST,2026-07-20 20:30:00,732.8,154735,90
ASIA-PAC,2026-07-20 03:45:00,546.8,114462,80
US-SOUTH-01,2026-07-22 09:30:00,708.0,122393,90
EMEA-EAST,2026-07-17 04:45:00,285.6,113582,85
EMEA-EAST,2026-07-10 15:00:00,314.9,21315,71
